id,nome,siglaPartido,ufLegislacao,email,escolaridade,dataNascimento,sexo,estadoNascimento,cidadeNascimento
178927,ALIEL MACHADO,PSB,PR,DEP.ALIELMACHADO@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1989-02-26,M,PR,PONTA GROSSA
204353,ALINE GURGEL,REPUBLICANOS,AP,DEP.ALINEGURGEL@CAMARA.LEG.BR,SUPERIOR,1980-11-25,F,AP,MACAPÁ
204400,ALINE SLEUTJES,PSL,PR,DEP.ALINESLEUTJES@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1979-07-26,F,PR,CASTRO
178881,ALUISIO MENDES,PSC,MA,DEP.ALUISIOMENDES@CAMARA.LEG.BR,SUPERIOR,1961-11-11,M,MG,BELO HORIZONTE
204356,AMARO NETO,REPUBLICANOS,ES,DEP.AMARONETO@CAMARA.LEG.BR,SUPERIOR,1976-12-04,M,ES,VITÓRIA
178831,ANDRÉ ABDON,PP,AP,DEP.ANDREABDON@CAMARA.LEG.BR,SUPERIOR,1970-11-10,M,PA,BELÉM
74471,ANDRÉ DE PAULA,PSD,PE,DEP.ANDREDEPAULA@CAMARA.LEG.BR,SUPERIOR,1961-07-22,M,PE,RECIFE
204423,ANDRÉ FERREIRA,PSC,PE,DEP.ANDREFERREIRA@CAMARA.LEG.BR,SUPERIOR,1972-12-10,M,PE,RECIFE
133439,ANDRÉ FIGUEIREDO,PDT,CE,DEP.ANDREFIGUEIREDO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1966-11-10,M,CE,FORTALEZA
178882,ANDRÉ FUFUCA,PP,MA,DEP.ANDREFUFUCA@CAMARA.LEG.BR,SUPERIOR,1989-08-27,M,MA,SANTA INÊS
204515,ANDRÉ JANONES,AVANTE,MG,DEP.ANDREJANONES@CAMARA.LEG.BR,SUPERIOR,1984-05-05,M,MG,ITUIUTABA
73696,ANGELA AMIN,PP,SC,DEP.ANGELAAMIN@CAMARA.LEG.BR,DOUTORADO,1953-12-20,F,SC,INDAIAL
160553,ANTONIO BRITO,PSD,BA,DEP.ANTONIOBRITO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1969-01-17,M,BA,SALVADOR
73433,ARLINDO CHINAGLIA,PT,SP,DEP.ARLINDOCHINAGLIA@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1949-12-24,M,SP,SERRA AZUL
141391,ARNALDO JARDIM,CIDADANIA,SP,DEP.ARNALDOJARDIM@CAMARA.LEG.BR,SUPERIOR,1955-05-08,M,SP,ALTINÓPOLIS
204414,AROLDO MARTINS,REPUBLICANOS,PR,DEP.AROLDOMARTINS@CAMARA.LEG.BR,DOUTORADO,1961-07-03,M,SP,SÃO PAULO
160541,ARTHUR LIRA,PP,AL,DEP.ARTHURLIRA@CAMARA.LEG.BR,SUPERIOR,1969-06-25,M,AL,MACEIÓ
160600,ARTHUR OLIVEIRA MAIA,DEM,BA,DEP.ARTHUROLIVEIRAMAIA@CAMARA.LEG.BR,MESTRADO,1964-08-17,M,BA,SALVADOR
159237,ASSIS CARVALHO,PT,PI,DEP.ASSISCARVALHO@CAMARA.LEG.BR,SUPERIOR,1961-09-09,M,PI,OEIRAS
74090,ÁTILA LINS,PP,AM,DEP.ATILALINS@CAMARA.LEG.BR,SUPERIOR,1950-11-22,M,AM,FONTE BOA
74459,ÁTILA LIRA,PP,PI,DEP.ATILALIRA@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1947-04-07,M,PI,PIRIPIRI
160665,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,DEP.AUGUSTOCOUTINHO@CAMARA.LEG.BR,SUPERIOR,1962-10-22,M,PE,RECIFE
204509,ÁUREA CAROLINA,PSOL,MG,DEP.AUREACAROLINA@CAMARA.LEG.BR,MESTRADO,1983-11-20,F,PA,TUCURUÍ
160512,AUREO RIBEIRO,SOLIDARIEDADE,RJ,DEP.AUREORIBEIRO@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1979-02-17,M,RJ,DUQUE DE CAXIAS
69871,BACELAR,PODE,BA,DEP.BACELAR@CAMARA.LEG.BR,MESTRADO,1957-07-09,M,BA,ESPLANADA
178975,BALEIA ROSSI,MDB,SP,DEP.BALEIAROSSI@CAMARA.LEG.BR,SUPERIOR,1972-06-09,M,SP,SÃO PAULO
73701,BENEDITA DA SILVA,PT,RJ,DEP.BENEDITADASILVA@CAMARA.LEG.BR,SUPERIOR,1942-04-26,F,RJ,RIO DE JANEIRO
109429,BENES LEOCÁDIO,REPUBLICANOS,RN,DEP.BENESLEOCADIO@CAMARA.LEG.BR,SUPERIOR,1966-04-22,M,RN,SANTANA DO MATOS
141335,BETO FARO,PT,PA,DEP.BETOFARO@CAMARA.LEG.BR,SECUNDÁRIO,1969-06-20,M,PA,BUJARU
204358,BETO PEREIRA,PSDB,MS,DEP.BETOPEREIRA@CAMARA.LEG.BR,SUPERIOR,1977-11-14,M,MS,CAMPO GRANDE
178948,BETO ROSADO,PP,RN,DEP.BETOROSADO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1982-02-01,M,RN,MOSSORÓ
207176,BIA CAVASSA,PSDB,MS,DEP.BIACAVASSA@CAMARA.LEG.BR,NONE,1969-01-14,F,MS,CORUMBÁ
204374,BIA KICIS,PSL,DF,DEP.BIAKICIS@CAMARA.LEG.BR,SUPERIOR,1961-09-19,F,RJ,RESENDE
204388,BIBO NUNES,PSL,RS,DEP.BIBONUNES@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1957-01-09,M,RS,CRUZ ALTA
141513,BILAC PINTO,DEM,MG,DEP.BILACPINTO@CAMARA.LEG.BR,SUPERIOR,1963-06-08,M,RJ,RIO DE JANEIRO
204561,BIRA DO PINDARÉ,PSB,MA,DEP.BIRADOPINDARE@CAMARA.LEG.BR,MESTRADO,1968-11-01,M,MA,PINDARÉ MIRIM
204397,BOCA ABERTA,PROS,PR,DEP.BOCAABERTA@CAMARA.LEG.BR,ENSINO MÉDIO,1971-08-07,M,PR,LONDRINA
160538,BOHN GASS,PT,RS,DEP.BOHNGASS@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1962-02-05,M,RS,SANTO CRISTO
74052,BOSCO COSTA,PL,SE,DEP.BOSCOCOSTA@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1950-09-28,M,SE,ITABAIANA
204551,BOSCO SARAIVA,SOLIDARIEDADE,AM,DEP.BOSCOSARAIVA@CAMARA.LEG.BR,SUPERIOR,1959-10-10,M,AM,MANAUS
160589,BRUNA FURLAN,PSDB,SP,DEP.BRUNAFURLAN@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1983-04-28,F,SP,BARUERI
93083,CACÁ LEÃO,PP,BA,DEP.CACALEAO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1979-11-03,M,BA,SALVADOR
204352,CAMILO CAPIBERIBE,PSB,AP,DEP.CAMILOCAPIBERIBE@CAMARA.LEG.BR,SUPERIOR,1972-05-23,M,,SANTIAGO
204572,CAPITÃO ALBERTO NETO,REPUBLICANOS,AM,DEP.CAPITAOALBERTONETO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1982-05-05,M,CE,FORTALEZA
178829,CAPITÃO AUGUSTO,PL,SP,DEP.CAPITAOAUGUSTO@CAMARA.LEG.BR,MESTRADO,1966-10-04,M,SP,OURINHOS
204487,CAPITÃO WAGNER,PROS,CE,DEP.CAPITAOWAGNER@CAMARA.LEG.BR,SUPERIOR,1979-01-21,M,SP,SAO PAULO
204507,CARLA ZAMBELLI,PSL,SP,DEP.CARLAZAMBELLI@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1980-07-03,F,SP,RIBEIRÃO PRETO
141401,CARLOS BEZERRA,MDB,MT,DEP.CARLOSBEZERRA@CAMARA.LEG.BR,SUPERIOR,1941-11-04,M,MT,CHAPADA DOS GUIMARÃES
204361,CARLOS CHIODINI,MDB,SC,DEP.CARLOSCHIODINI@CAMARA.LEG.BR,SUPERIOR,1982-03-08,M,SC,JARAGUÁ DO SUL
178962,CARLOS GOMES,REPUBLICANOS,RS,DEP.CARLOSGOMES@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1972-06-13,M,BA,SAÚDE
178993,CARLOS HENRIQUE GAGUIM,DEM,TO,DEP.CARLOSHENRIQUEGAGUIM@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1961-04-21,M,GO,CERES
204460,CARLOS JORDY,PSL,RJ,DEP.CARLOSJORDY@CAMARA.LEG.BR,SUPERIOR,1982-02-08,M,RJ,NITERÓI
74262,CARLOS SAMPAIO,PSDB,SP,DEP.CARLOSSAMPAIO@CAMARA.LEG.BR,SUPERIOR,1963-03-31,M,SP,CAMPINAS
204426,CARLOS VERAS,PT,PE,DEP.CARLOSVERAS@CAMARA.LEG.BR,SUPERIOR,1981-08-10,M,PE,TABIRA
141398,CARLOS ZARATTINI,PT,SP,DEP.CARLOSZARATTINI@CAMARA.LEG.BR,SUPERIOR,1959-06-08,M,SP,SÃO PAULO
164360,CARMEN ZANOTTO,CIDADANIA,SC,DEP.CARMENZANOTTO@CAMARA.LEG.BR,SUPERIOR,1962-10-06,F,SC,LAGES
204369,CAROLINE DE TONI,PSL,SC,DEP.CAROLINEDETONI@CAMARA.LEG.BR,MESTRADO,1986-09-01,F,SC,CHAPECÓ
204499,CÁSSIO ANDRADE,PSB,PA,DEP.CASSIOANDRADE@CAMARA.LEG.BR,SUPERIOR,1981-09-12,M,BA,SALVADOR
204380,CELINA LEÃO,PP,DF,DEP.CELINALEAO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1977-03-02,F,GO,GOIÂNIA
204370,CÉLIO MOURA,PT,TO,DEP.CELIOMOURA@CAMARA.LEG.BR,SUPERIOR,1953-08-13,M,MG,ARAPUÁ
178876,CÉLIO SILVEIRA,PSDB,GO,DEP.CELIOSILVEIRA@CAMARA.LEG.BR,SUPERIOR,1959-09-19,M,GO,LUZIÂNIA
204488,CÉLIO STUDART,PV,CE,DEP.CELIOSTUDART@CAMARA.LEG.BR,SUPERIOR,1987-06-19,M,CE,FORTALEZA
141405,CELSO MALDANER,MDB,SC,DEP.CELSOMALDANER@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1953-08-30,M,SC,CHAPECÓ
73441,CELSO RUSSOMANNO,REPUBLICANOS,SP,DEP.CELSORUSSOMANNO@CAMARA.LEG.BR,SUPERIOR,1956-08-20,M,SP,SÃO PAULO
204496,CELSO SABINO,PSDB,PA,DEP.CELSOSABINO@CAMARA.LEG.BR,DOUTORADO,1978-08-29,M,PA,BELÉM
204504,CEZINHA DE MADUREIRA,PSD,SP,DEP.CEZINHADEMADUREIRA@CAMARA.LEG.BR,SUPERIOR,1973-12-12,M,BA,IPIAÚ
205476,CHARLES FERNANDES,PSD,BA,DEP.CHARLESFERNANDES@CAMARA.LEG.BR,SUPERIOR,1965-03-15,M,BA,GUANAMBI
204490,CHARLLES EVANGELISTA,PSL,MG,DEP.CHARLLESEVANGELISTA@CAMARA.LEG.BR,SUPERIOR,1984-12-27,M,MG,JUIZ DE FORA
141439,CHICO D'ANGELO,PDT,RJ,DEP.CHICODANGELO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1953-02-11,M,RJ,CAMPOS DOS GOYTACAZES
204476,CHIQUINHO BRAZÃO,AVANTE,RJ,DEP.CHIQUINHOBRAZAO@CAMARA.LEG.BR,ENSINO MÉDIO,1962-02-22,M,RJ,RIO DE JANEIRO
204462,CHRIS TONIETTO,PSL,RJ,DEP.CHRISTONIETTO@CAMARA.LEG.BR,SUPERIOR,1991-05-14,F,RJ,RIO DE JANEIRO
178928,CHRISTIANE DE SOUZA YARED,PL,PR,DEP.CHRISTIANEDESOUZAYARED@CAMARA.LEG.BR,ENSINO MÉDIO,1960-02-23,F,PR,CURITIBA
204440,CHRISTINO AUREO,PP,RJ,DEP.CHRISTINOAUREO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1962-04-26,M,RJ,MACAÉ
178939,CLARISSA GAROTINHO,PROS,RJ,DEP.CLARISSAGAROTINHO@CAMARA.LEG.BR,SUPERIOR,1982-07-02,F,RJ,CAMPOS DOS GOYTACAZES
74537,CLAUDIO CAJADO,PP,BA,DEP.CLAUDIOCAJADO@CAMARA.LEG.BR,SUPERIOR,1963-12-01,M,BA,SALVADOR
141408,CLEBER VERDE,REPUBLICANOS,MA,DEP.CLEBERVERDE@CAMARA.LEG.BR,SUPERIOR,1972-05-10,M,MA,SANTA LUZIA
204376,CORONEL ARMANDO,PSL,SC,DEP.CORONELARMANDO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1957-06-23,M,RJ,RESENDE
204378,CORONEL CHRISÓSTOMO,PSL,RO,DEP.CORONELCHRISOSTOMO@CAMARA.LEG.BR,MESTRADO,1959-06-23,M,AM,TEFÉ
204514,CORONEL TADEU,PSL,SP,DEP.CORONELTADEU@CAMARA.LEG.BR,MESTRADO,1965-09-30,M,SP,SAO PAULO
135054,CRISTIANO VALE,PL,PA,DEP.CRISTIANOVALE@CAMARA.LEG.BR,SECUNDÁRIO,1970-04-10,M,MG,MANHUAÇU
204355,DA VITORIA,CIDADANIA,ES,DEP.DAVITORIA@CAMARA.LEG.BR,SUPERIOR,1971-06-02,M,ES,COLATINA
141411,DAGOBERTO NOGUEIRA,PDT,MS,DEP.DAGOBERTONOGUEIRA@CAMARA.LEG.BR,SUPERIOR,1955-07-21,M,SP,SÃO JOSÉ DO RIO PRETO
74467,DAMIÃO FELICIANO,PDT,PB,DEP.DAMIAOFELICIANO@CAMARA.LEG.BR,MESTRADO INCOMPLETO,1952-04-28,M,PB,CAMPINA GRANDE
74060,DANIEL ALMEIDA,PCdoB,BA,DEP.DANIELALMEIDA@CAMARA.LEG.BR,SUPERIOR,1955-01-21,M,BA,MAIRI
178916,DANIEL COELHO,CIDADANIA,PE,DEP.DANIELCOELHO@CAMARA.LEG.BR,SUPERIOR,1978-11-04,M,PE,RECIFE
204367,DANIEL FREITAS,PSL,SC,DEP.DANIELFREITAS@CAMARA.LEG.BR,SUPERIOR,1982-04-03,M,SC,CRICIÚMA
204454,DANIEL SILVEIRA,PSL,RJ,DEP.DANIELSILVEIRA@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1982-11-25,M,RJ,PETRÓPOLIS
204409,DANIEL TRZECIAK,PSDB,RS,DEP.DANIELTRZECIAK@CAMARA.LEG.BR,SUPERIOR,1986-11-04,M,RS,DOM FELICIANO
204459,DANIELA DO WAGUINHO,MDB,RJ,DEP.DANIELADOWAGUINHO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1976-02-10,F,RJ,RIO DE JANEIRO
160528,DANILO CABRAL,PSB,PE,DEP.DANILOCABRAL@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1967-04-21,M,PE,SURUBIM
160552,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,DEP.DANRLEIDEDEUSHINTERHOLZ@CAMARA.LEG.BR,SECUNDÁRIO INCOMPLETO,1973-04-18,M,RS,CRISSIUMAL
116379,DARCI DE MATOS,PSD,SC,DEP.DARCIDEMATOS@CAMARA.LEG.BR,SUPERIOR,1961-11-08,M,PR,CAFELÂNDIA
205548,DAVID MIRANDA,PSOL,RJ,DEP.DAVIDMIRANDA@CAMARA.LEG.BR,NONE,1985-05-10,M,RJ,RIO DE JANEIRO
204511,DAVID SOARES,DEM,SP,DEP.DAVIDSOARES@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1973-12-21,M,RJ,RIO DE JANEIRO
204451,DELEGADO ANTÔNIO FURTADO,PSL,RJ,DEP.DELEGADOANTONIOFURTADO@CAMARA.LEG.BR,SUPERIOR,1972-01-06,M,RJ,RIO DE JANEIRO
178908,DELEGADO ÉDER MAURO,PSD,PA,DEP.DELEGADOEDERMAURO@CAMARA.LEG.BR,SUPERIOR,1960-12-14,M,PA,BELÉM
204512,DELEGADO MARCELO FREITAS,PSL,MG,DEP.DELEGADOMARCELOFREITAS@CAMARA.LEG.BR,DOUTORADO,1976-03-04,M,MG,MONTES CLAROS
204569,DELEGADO PABLO,PSL,AM,DEP.DELEGADOPABLO@CAMARA.LEG.BR,MESTRADO,1976-07-26,M,AM,MANAUS
164359,DELEGADO WALDIR,PSL,GO,DEP.DELEGADOWALDIR@CAMARA.LEG.BR,SUPERIOR,1962-11-28,M,PR,JACAREZINHO
204542,DENIS BEZERRA,PSB,CE,DEP.DENISBEZERRA@CAMARA.LEG.BR,SUPERIOR,1980-03-17,M,CE,FORTALEZA
160588,DIEGO ANDRADE,PSD,MG,DEP.DIEGOANDRADE@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1977-08-08,M,MG,BELO HORIZONTE
178929,DIEGO GARCIA,PODE,PR,DEP.DIEGOGARCIA@CAMARA.LEG.BR,SUPERIOR,1984-10-10,M,PR,BANDEIRANTES
160599,DIMAS FABIANO,PP,MG,DEP.DIMASFABIANO@CAMARA.LEG.BR,SUPERIOR,1973-05-23,M,RJ,MACAÉ
143632,DOMINGOS NETO,PSD,CE,DEP.DOMINGOSNETO@CAMARA.LEG.BR,MESTRADO INCOMPLETO,1988-04-29,M,CE,FORTALEZA
160758,DOMINGOS SÁVIO,PSDB,MG,DEP.DOMINGOSSAVIO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1957-03-25,M,MG,SÃO TIAGO
204518,DR. FREDERICO,PATRIOTA,MG,DEP.DR.FREDERICO@CAMARA.LEG.BR,SUPERIOR,1977-03-24,M,RJ,TERESÓPOLIS
204481,DR. JAZIEL,PL,CE,DEP.DR.JAZIEL@CAMARA.LEG.BR,SUPERIOR,1961-05-03,M,CE,CAMOCIM
204439,DR. LEONARDO,SOLIDARIEDADE,MT,DEP.DR.LEONARDO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1978-06-14,M,GO,RIO VERDE
204450,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,DEP.DR.LUIZANTONIOTEIXEIRAJR@CAMARA.LEG.BR,SUPERIOR,1973-12-15,M,RJ,NOVA IGUAÇU
204351,DR. LUIZ OVANDO,PSL,MS,DEP.DR.LUIZOVANDO@CAMARA.LEG.BR,SUPERIOR,1949-09-25,M,MS,CORUMBÁ
178830,DR. SINVAL MALHEIROS,PODE,SP,DEP.DR.SINVALMALHEIROS@CAMARA.LEG.BR,SUPERIOR,1951-02-23,M,SP,SÃO PAULO
204412,DR. ZACHARIAS CALIL,DEM,GO,DEP.DR.ZACHARIASCALIL@CAMARA.LEG.BR,SUPERIOR,1953-11-05,M,GO,GOIÂNIA
81297,DRA. SORAYA MANATO,PSL,ES,DEP.DRA.SORAYAMANATO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1961-03-10,F,ES,LINHARES
204434,DRA. VANDA MILANI,SOLIDARIEDADE,AC,DEP.DRA.VANDAMILANI@CAMARA.LEG.BR,SUPERIOR,1953-09-17,F,SP,CEDRAL
178994,DULCE MIRANDA,MDB,TO,DEP.DULCEMIRANDA@CAMARA.LEG.BR,SUPERIOR,1963-12-15,F,MG,POCRANE
204562,EDILÁZIO JÚNIOR,PSD,MA,DEP.EDILAZIOJUNIOR@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1981-05-04,M,MA,SÃO LUÍS
141417,EDIO LOPES,PL,RR,DEP.EDIOLOPES@CAMARA.LEG.BR,SUPERIOR INCOMPLETO,1952-01-04,M,SP,PRESIDENTE EPITÁCIO
134812,EDMILSON RODRIGUES,PSOL,PA,DEP.EDMILSONRODRIGUES@CAMARA.LEG.BR,DOUTORADO,1957-05-26,M,PA,BELÉM
204421,EDNA HENRIQUE,PSDB,PB,DEP.EDNAHENRIQUE@CAMARA.LEG.BR,SUPERIOR,1958-09-04,F,BA,XIQUE-XIQUE
74655,EDUARDO BARBOSA,PSDB,MG,DEP.EDUARDOBARBOSA@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1958-08-25,M,MG,PARÁ DE MINAS
204541,EDUARDO BISMARCK,PDT,CE,DEP.EDUARDOBISMARCK@CAMARA.LEG.BR,SUPERIOR,1981-11-14,M,CE,FORTALEZA
92346,EDUARDO BOLSONARO,PSL,SP,DEP.EDUARDOBOLSONARO@CAMARA.LEG.BR,SUPERIOR,1984-07-10,M,RJ,RIO DE JANEIRO
204552,EDUARDO BRAIDE,PODE,MA,DEP.EDUARDOBRAIDE@CAMARA.LEG.BR,SUPERIOR,1976-01-12,M,MA,SÃO LUÍS
204500,EDUARDO COSTA,PTB,PA,DEP.EDUARDOCOSTA@CAMARA.LEG.BR,SUPERIOR,1968-02-16,M,PA,BELÉM
178977,EDUARDO CURY,PSDB,SP,DEP.EDUARDOCURY@CAMARA.LEG.BR,SUPERIOR,1963-09-19,M,SP,SÃO JOSÉ DOS CAMPOS
141421,EDUARDO DA FONTE,PP,PE,DEP.EDUARDODAFONTE@CAMARA.LEG.BR,NONE,1972-10-17,M,PE,RECIFE
141422,EFRAIM FILHO,DEM,PB,DEP.EFRAIMFILHO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1979-03-18,M,PB,JOÃO PESSOA
74075,ELCIONE BARBALHO,MDB,PA,DEP.ELCIONEBARBALHO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1944-10-05,F,PA,BELÉM
204364,ELI BORGES,SOLIDARIEDADE,TO,DEP.ELIBORGES@CAMARA.LEG.BR,SUPERIOR,1960-09-01,M,GO,IPAMERI
160532,ELI CORRÊA FILHO,DEM,SP,DEP.ELICORREAFILHO@CAMARA.LEG.BR,SUPERIOR,1976-01-13,M,SP,SÃO PAULO
204389,ELIAS VAZ,PSB,GO,DEP.ELIASVAZ@CAMARA.LEG.BR,SUPERIOR,1966-07-04,M,GO,GOIÂNIA
178854,ELMAR NASCIMENTO,DEM,BA,DEP.ELMARNASCIMENTO@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1970-07-06,M,BA,CAMPO FORMOSO
198783,EMANUEL PINHEIRO NETO,PTB,MT,DEP.EMANUELPINHEIRONETO@CAMARA.LEG.BR,SUPERIOR,1995-01-05,M,MT,CUIABÁ
161550,EMIDINHO MADEIRA,PSB,MG,DEP.EMIDINHOMADEIRA@CAMARA.LEG.BR,ENSINO FUNDAMENTAL,1967-03-10,M,MG,NOVA RESENDE
207309,ENÉIAS REIS,PSL,MG,DEP.ENEIASREIS@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1972-11-05,M,MG,CORONEL FABRICIANO
132504,ENIO VERRI,PT,PR,DEP.ENIOVERRI@CAMARA.LEG.BR,DOUTORADO,1961-03-27,M,PR,MARINGÁ
204537,ENRICO MISASI,PV,SP,DEP.ENRICOMISASI@CAMARA.LEG.BR,MESTRADO INCOMPLETO,1994-08-06,M,SP,SÃO PAULO
160575,ERIKA KOKAY,PT,DF,DEP.ERIKAKOKAY@CAMARA.LEG.BR,SUPERIOR,1957-08-15,F,CE,FORTALEZA
160640,EROS BIONDINI,PROS,MG,DEP.EROSBIONDINI@CAMARA.LEG.BR,PÓS-GRADUAÇÃO,1971-05-20,M,MG,BELO HORIZONTE
